t,wp_idx,des_q1,des_q2,leader_q1,leader_q2,leader_dq1,leader_dq2,foll_q1,foll_q2,foll_dq1,foll_dq2
0.48,0,0.0,0.0,1.5591402945728583e-11,2.8549956561114997e-11,6.0646795745078474e-12,1.1105241726205861e-11,1.556501957055942e-11,2.8515339144353505e-11,6.059829721349885e-12,1.11104597744216e-11
0.5,0,0.0,0.0,1.5858724029400365e-11,2.903945720946351e-11,5.823576863794866e-12,1.0663719907100244e-11,1.5832098630816e-11,2.9005043185560134e-11,5.818311978045276e-12,1.0668244065925592e-11
0.52,0,0.0,0.0,1.611131576338776e-11,2.950198679354118e-11,5.500818550663311e-12,1.0072803702243505e-11,1.6084432611783085e-11,2.946773545894427e-11,5.495247486220212e-12,1.0076287026983266e-11
0.54,0,0.0,0.0,1.6350718623337122e-11,2.994036576555309e-11,5.114897221047965e-12,9.366063480342746e-12,1.6323563632757503e-11,2.990624099638101e-11,5.109077657466932e-12,9.368755771177462e-12
0.56,0,0.0,0.0,1.6580582032026306e-11,3.036127655788452e-11,4.420130927940136e-12,8.09391442757601e-12,1.655313925992933e-11,3.0327246435225274e-11,4.414595859009163e-12,8.095663028839795e-12
0.58,0,0.0,0.0,1.679328670317704e-11,3.075076766391878e-11,4.641905349683784e-12,8.499909109893622e-12,1.6765552597716376e-11,3.0716799908037936e-11,4.635493811716573e-12,8.501283010886596e-12
0.6,0,0.0,0.0,1.699496054226402e-11,3.112005945550974e-11,4.308507110112325e-12,7.889425224227864e-12,1.6966927044348087e-11,3.10861276708549e-11,4.302096873187722e-12,7.890244013708525e-12
0.62,0,0.0,0.0,1.7188595941211784e-11,3.14746320490181e-11,3.723461209498291e-12,6.818282050069513e-12,1.7160252447777e-11,3.144071210211626e-11,3.717499398592228e-12,6.818476339098822e-12
0.64,0,0.0,0.0,1.7368279997040583e-11,3.1803657883373874e-11,3.85438556071982e-12,7.057909812147045e-12,1.7339627806961164e-11,3.176972781956474e-11,3.847791876787632e-12,7.057715523117736e-12
0.66,0,0.0,0.0,1.7540924147318517e-11,3.2119792682268344e-11,3.319642737781292e-12,6.0786653488520415e-12,1.751195524096783e-11,3.2085832711826496e-11,3.313523934400653e-12,6.078124115127537e-12
0.68,0,0.0,0.0,1.7697691064040768e-11,3.240685425122821e-11,3.818373568720279e-12,6.9919903200599265e-12,1.766841627259852e-11,3.2372848720008976e-11,3.810919895624876e-12,6.990838463671878e-12
0.7000000000000001,0,0.0,0.0,1.784942019373521e-11,3.268469078278742e-11,3.2291135911022284e-12,5.912936806851121e-12,1.781983218062213e-11,3.2650623814601563e-11,3.222417558484958e-12,5.911535150282532e-12
0.72,0,0.0,0.0,1.7992205356768605e-11,3.2946149901032235e-11,3.1107841996780294e-12,5.696262905807714e-12,1.796230595949055e-11,3.291200836749251e-11,3.1039663027365716e-12,5.6945836934829686e-12
0.74,0,0.0,0.0,1.8127544855491205e-11,3.319397473113412e-11,2.8915012745267532e-12,5.294750748952026e-12,1.809733477877959e-11,3.315974704428767e-11,2.884845574230299e-12,5.292877247597971e-12
0.76,0,0.0,0.0,1.8257491333548355e-11,3.343192380824286e-11,2.4987893698646957e-12,4.5756454181145045e-12,1.8226967728987212e-11,3.339759826911455e-11,2.492785925595209e-12,4.573716405609218e-12
0.78,0,0.0,0.0,1.8378075128667533e-11,3.365272869650524e-11,2.5866669917107288e-12,4.736475101019266e-12,1.8347246499437663e-11,3.361829826905667e-11,2.580071139374196e-12,4.7342268993944e-12
0.8,0,0.0,0.0,1.849393447769195e-11,3.386488279634868e-11,2.2277553066163414e-12,4.079334092743636e-12,1.846279937226349e-11,3.383033790490626e-11,2.221858547840627e-12,4.0772107912090405e-12
0.8200000000000001,0,0.0,0.0,1.8601144108621804e-11,3.406119830186714e-11,2.3396423687316314e-12,4.284267385301632e-12,1.85697128360227e-11,3.402653475533897e-11,2.3332065446357575e-12,4.281686116769379e-12
