it,K_err,q1,q2,q3,q4
0,9.91154147693968,10.0,10.0,10.0,10.0
1,9.883661587179068,10.67236684742511,10.67236684742511,9.32763315257489,9.32763315257489
2,9.858289871419938,11.313144445589387,11.313144445589387,8.686855554410613,8.686855554410613
3,9.513869007787791,13.73961769696507,13.73961769696507,11.113328805786296,6.26038230303493
4,9.488030062114627,14.374226289769467,14.374226289769467,10.478720212981898,5.625773710230533
5,9.464646902763427,14.977365517788712,14.977365517788712,9.875580984962653,5.022634482211288
6,9.223753633129451,16.9643747514192,16.9643747514192,11.862590218593141,3.0356252485808
7,9.223681864506478,16.929902644969843,16.998846857868557,11.828118112143784,3.070097355030157
8,9.223637900835593,16.902923410621042,17.025826092217358,11.801138877794983,3.0970765893789576
9,9.201890146541485,17.476777345800656,17.59968002739697,11.22728494261537,2.523222654199344
10,9.030767551768953,19.127622122946377,19.250524804542692,12.878129719761091,0.8723778770536228
11,9.029495920618134,19.26627179467232,19.11187513281675,12.739480048035148,1.0110275487795661
12,8.815893369332956,21.08976691796215,20.93537025610658,10.915984924745317,2.8345226720693972
13,8.367489603418875,23.668229968857304,23.513833307001732,13.494447975640469,5.4129857229645495
14,8.019396226370628,25.877939293318377,25.723542631462806,15.704157300101542,7.622695047425623
15,8.018713868898399,25.783019050559233,25.81846287422195,15.799077542860687,7.527774804666478
16,7.889372957925407,27.10609208544156,27.141535909104277,14.47600450797836,8.850847839548805
17,7.886589818245973,26.91602811519033,27.331599879355508,14.66606847822959,8.660783869297575
18,7.781729996260725,28.096678174970293,28.512249939135472,13.485418418449626,9.841433929077539
19,7.520259331255848,29.940286757673675,30.355858521838854,15.329027001153008,11.685042511780921
20,7.50853229551669,30.322038867846004,29.974106411666526,15.710779111325337,12.06679462195325
21,7.50393302518344,30.084281458423447,30.211863821089082,15.948536520747894,11.829037212530693
22,7.494287765748802,29.738539790523646,30.557605488988884,16.294278188647695,12.174778880430495
23,7.295572532002974,31.314117192048343,32.13318289051358,17.869855590172392,13.750356281955192
24,7.291532481093981,31.534525531876625,31.9127745506853,18.090263930000674,13.970764621783474
25,7.213112155192977,32.510201962688825,32.8884509814975,17.114587499188474,14.946441052595674
26,7.210465841506003,32.332878202462325,33.065774741724,17.291911259414974,15.123764812822174
27,7.032825044168381,33.795074449992626,34.5279709892543,18.754107506945275,13.661568565291873
28,6.947840660951968,34.778903860749324,35.511800400011,17.770278096188576,12.677739154535175
29,6.866028577747498,35.751273904006666,36.48417044326834,16.797908052931234,13.650109197792517
30,6.863200506052277,35.57237988298766,36.663064464287345,16.97680207395024,13.829003218811522
31,6.858149130619978,35.334651070352265,36.90079327692274,17.214530886585635,13.591274406176126
32,6.853623950947001,35.56537814342619,36.67006620384882,17.445257959659557,13.360547333102204
33,6.851263033350162,35.728681336829595,36.50676301044541,17.608561153062965,13.523850526505612
34,6.848085072373716,35.92189816624568,36.313546181029324,17.801777982479052,13.330633697089525
35,6.845369998733061,35.74685713113922,36.488587216135784,17.976819017585512,13.505674732195985
36,6.704100931066537,37.014944585630474,37.756674670627035,19.244906472076764,14.773762186687236
