t,wp_idx,des_q1,des_q2,leader_q1,leader_q2,leader_dq1,leader_dq2,foll_q1,foll_q2,foll_dq1,foll_dq2
0.36,0,0.0,0.0,1.3409678419459672e-11,2.4555702795346894e-11,8.72775896693101e-12,1.598221555099144e-11,1.3382341175892544e-11,2.4513690491155913e-11,8.699688105323622e-12,1.59443153124883e-11
0.38,0,0.0,0.0,1.3788861688878412e-11,2.525006024188701e-11,9.38425335703097e-12,1.7184351164267753e-11,1.3752196886186899e-11,2.5191577793003505e-11,1.0429298917535856e-11,1.9115264926483633e-11
0.4,0,0.0,0.0,1.4155747785468518e-11,2.592189942339672e-11,7.971374428594746e-12,1.4597156816620327e-11,1.4121186320680157e-11,2.5867909020137565e-11,7.80935255698112e-12,1.4314036067553104e-11
0.42,0,0.0,0.0,1.4487654136396105e-11,2.6529683704633584e-11,9.168907820489292e-12,1.6790083212647744e-11,1.4453399844297807e-11,2.6476863296031143e-11,9.185738975014957e-12,1.683767014704074e-11
0.44,0,0.0,0.0,1.4808978493275313e-11,2.7118090291976524e-11,7.912050355163291e-12,1.4488396593570485e-11,1.477504896309576e-11,2.7066481108938363e-11,7.919827987867833e-12,1.4517942403813322e-11
0.46,0,0.0,0.0,1.510664527599096e-11,2.766317553280938e-11,8.185476602085018e-12,1.4989204322191085e-11,1.5079166887081896e-11,2.762398960663889e-11,7.505574287081096e-12,1.3759174355421067e-11
0.48,0,0.0,0.0,1.540092041930672e-11,2.8202050033386814e-11,6.38059613825015e-12,1.1684112011245418e-11,1.5373229063167e-11,2.81630899682129e-11,6.389421977615051e-12,1.171368557706387e-11
0.5,0,0.0,0.0,1.5679611934484565e-11,2.8712387902573006e-11,5.95516734883117e-12,1.0905068514865945e-11,1.5651792108193656e-11,2.8673801621735916e-11,5.951975457635372e-12,1.0912312720101625e-11
0.52,0,0.0,0.0,1.5929989567607514e-11,2.917087731567513e-11,7.0584831382558555e-12,1.2925480130654421e-11,1.5902022250356173e-11,2.913259125302168e-11,7.05430722516831e-12,1.2933890070065956e-11
0.54,0,0.0,0.0,1.6167455886785385e-11,2.960572383557846e-11,6.657978422058841e-12,1.2192011289435811e-11,1.613932296025428e-11,2.956769577487815e-11,6.653282091928503e-12,1.2199213861308067e-11
0.56,0,0.0,0.0,1.639351896563209e-11,3.001968879511208e-11,6.184490419780531e-12,1.1325038129506027e-11,1.636520386234467e-11,2.998188065571516e-11,6.179449747040211e-12,1.1330880678173116e-11
0.58,0,0.0,0.0,1.6607573340118023e-11,3.04116635810747e-11,5.8618374911001414e-12,1.0734219069163942e-11,1.657906214629096e-11,3.0374039155832794e-11,5.856424720174225e-12,1.0739104050472292e-11
0.6,0,0.0,0.0,1.6804749787162885e-11,3.0772731659288714e-11,6.168275959450575e-12,1.1295311908021688e-11,1.6776036358405632e-11,3.0735253880630576e-11,6.1619077895702645e-12,1.1299863822422651e-11
0.62,0,0.0,0.0,1.7001974366278992e-11,3.113388770879964e-11,4.7176858773700925e-12,8.639006177091346e-12,1.6973037536363056e-11,3.1096535274321e-11,4.712315173488468e-12,8.642017657045642e-12
